,特征值,特征重要性
9,MTM,0.469450972168337
8,RSI6,0.12666163106123043
1,vol,0.1234381691501338
2,close-open,0.09304947062952729
5,pct_chg,0.05933477705646741
4,price_change,0.04021291821235129
6,MA5,0.038741516676817925
3,high-low,0.028342395311524493
0,close,0.01420069749988451
7,MA10,0.004434819924263035
10,MACD,0.0021326323094627508
