,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,399005.SZ,20210108,10318.909,9589.073,10430.358,9559.696,9545.183,773.726,0.0811,26289493700.0,678060127436.33,870.6620000000003,8.44,67806012.74,6780.6,3382.26,3398.34,100.48,33822622.87,42343185.99,33369729.48,33983389.87,-8520563.120000005,8973456.510000002,100.48,-20.12,26.89,1,9449.1766,9315.7419,9098.7942,8952.4137
1,399005.SZ,20201231,9545.183,9317.356,9553.15,9205.288,9343.213,201.97,0.0216,14528058269.0,338226228680.71,347.86199999999917,3.64,33822622.87,3382.26,4234.32,-852.06,-20.12,42343185.99,33369729.48,37994741.14,-8520563.120000005,8973456.510000002,-4625011.66,-20.12,26.89,-12.17,0,9240.130000000001,9180.5619,9035.7152,8855.2901
2,399005.SZ,20201225,9343.213,9094.434,9384.485,9071.991,9096.283,246.93,0.0271,18253673221.0,423431859900.07,312.4940000000006,3.34,42343185.99,4234.32,3336.97,897.35,26.89,33369729.48,37994741.14,39599090.11,8973456.510000002,-4625011.66,-1604348.9699999988,26.89,-12.17,-4.05,1,9136.732199999999,9107.649300000001,9009.7003,8781.571333333331
3,399005.SZ,20201218,9096.283,8950.803,9135.193,8883.438,8942.295,153.988,0.0172,14751080921.0,333697294839.5,251.7549999999992,2.77,33369729.48,3336.97,3799.47,-462.5,-12.17,37994741.14,39599090.11,36862720.9,-4625011.66,-1604348.9699999988,2736369.210000001,-12.17,-4.05,7.42,0,9095.1058,9080.488000000001,8997.336050000002,8703.311399999999
4,399005.SZ,20201211,8942.295,9277.587,9328.009,8864.578,9273.676,-331.381,-0.0357,16931981449.0,379947411448.4,463.4310000000005,5.18,37994741.14,3799.47,3959.91,-160.44,-4.05,39599090.11,36862720.9,37566195.38,-1604348.9699999988,2736369.210000001,-703474.4800000042,-4.05,7.42,-1.87,0,9104.7784,9064.4968,8996.914850000001,8631.438533333332
5,399005.SZ,20201204,9273.676,9063.778,9286.618,8988.376,9028.194,245.482,0.0272,18729523604.0,395990901144.78,298.2420000000002,3.22,39599090.11,3959.91,3686.27,273.64,7.42,36862720.9,37566195.38,44186986.67,2736369.210000001,-703474.4800000042,-6620791.289999999,7.42,-1.87,-14.98,1,9182.3072,9037.4608,8977.5572,8572.186899999997
6,399005.SZ,20201127,9028.194,9144.182,9190.424,8832.09,9135.081,-106.887,-0.0117,15528452164.0,368627209029.73,358.33400000000074,3.97,36862720.9,3686.27,3756.62,-70.35,-1.87,37566195.38,44186986.67,40899627.54,-703474.4800000042,-6620791.289999999,3287359.1300000027,-1.87,-14.98,8.04,0,9120.993799999998,8965.996799999999,8951.8987,8504.128766666665
7,399005.SZ,20201120,9135.081,9164.781,9169.359,8937.16,9144.646,-9.565,-0.001,14286433003.0,375661953804.16,232.19900000000052,2.54,37566195.38,3756.62,4418.7,-662.08,-14.98,44186986.67,40899627.54,36595842.73,-6620791.289999999,3287359.1300000027,4303784.810000002,-14.98,8.04,11.76,0,9078.5664,8946.033,8957.9735,8439.429866666664
8,399005.SZ,20201113,9144.646,9389.989,9559.812,9088.85,9329.939,-185.293,-0.0199,16296924058.0,441869866739.21,470.96199999999953,5.15,44186986.67,4418.7,4089.96,328.74,8.04,40899627.54,36595842.73,28789686.21,3287359.1300000027,4303784.810000002,7806156.519999996,8.04,11.76,27.11,3,9065.8702,8893.856299999998,8915.61435,8361.454799999998
9,399005.SZ,20201106,9329.939,8969.351,9393.815,8953.989,8967.109,362.83,0.0405,15864900093.0,408996275438.94,439.82600000000093,4.71,40899627.54,4089.96,3659.58,430.38,11.76,36595842.73,28789686.21,37370783.37,4303784.810000002,7806156.519999996,-8581097.159999996,11.76,27.11,-22.96,2,9024.215199999999,8887.853999999998,8851.640099999999,8286.221599999997
