,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,399005.SZ,20201231,9545.183,9024.883,9553.15,8864.578,9042.469,502.714,0.0556,78941041302.0,1781840426444.54,688.5720000000001,7.21,178184042.64,17818.4,16846.09,972.31,5.77,168460857.46,110005583.47,132314331.57,9723185.179999977,58455273.99000001,-22308748.099999994,5.77,53.14,-16.86,2,9076.345800000001,8307.1829,7253.8250499999995,
1,399005.SZ,20201130,9042.469,8969.351,9559.812,8832.09,8967.109,75.36,0.0084,66229985480.0,1684608574580.96,727.7219999999998,8.05,168460857.46,16846.09,11000.56,5845.53,53.14,110005583.47,132314331.57,196628479.28,58455273.99000001,-22308748.099999994,-64314147.71000001,53.14,-16.86,-32.71,1,8984.881,8078.308499999999,7078.787699999999,
2,399005.SZ,20201030,8967.109,8866.722,9313.518,8691.351,8671.935,295.174,0.034,44449303109.0,1100055834689.16,622.1669999999995,6.94,110005583.47,11000.56,13231.43,-2230.87,-16.86,132314331.57,196628479.28,294982902.64,-22308748.099999994,-64314147.71000001,-98354423.35999998,-16.86,-32.71,-33.34,0,8779.4882,7878.097599999999,6945.6631,
3,399005.SZ,20200930,8671.935,9138.621,9310.782,8412.044,9155.033,-483.098,-0.0528,60023780464.0,1323143315692.15,898.7379999999994,10.36,132314331.57,13231.43,19662.85,-6431.42,-32.71,196628479.28,294982902.64,143436894.86,-64314147.71000001,-98354423.35999998,151546007.77999997,-32.71,-33.34,105.65,0,8385.1494,7644.655099999999,6791.9923,
4,399005.SZ,20200831,9155.033,9180.765,9324.526,8698.255,9087.859,67.174,0.0074,91773832197.0,1966284792821.16,626.2710000000006,6.84,196628479.28,19662.85,29498.29,-9835.44,-33.34,294982902.64,143436894.86,105783691.73,-98354423.35999998,151546007.77999997,37653203.13000001,-33.34,105.65,35.59,0,8068.207800000001,7387.109199999999,6600.2262,
5,399005.SZ,20200731,9087.859,8041.64,9502.295,7965.206,8015.505,1072.354,0.1338,143701867460.0,2949829026359.35,1537.089,16.91,294982902.64,29498.29,14343.69,15154.6,105.65,143436894.86,105783691.73,127520008.99,151546007.77999997,37653203.13000001,-21736317.25999999,105.65,35.59,-17.05,2,7538.020000000001,7086.565799999999,,
6,399005.SZ,20200630,8015.505,7066.915,8030.218,7066.915,6995.415,1020.09,0.1458,72285830187.0,1434368948602.15,963.3029999999999,12.02,143436894.86,14343.69,10578.37,3765.32,35.59,105783691.73,127520008.99,179886027.58,37653203.13000001,-21736317.25999999,-52366018.59000002,35.59,-17.05,-29.11,1,7171.736000000002,6777.5603,,
7,399005.SZ,20200529,6995.415,7014.745,7276.059,6819.751,7087.227,-91.812,-0.013,52682206084.0,1057836917342.84,456.308,6.52,105783691.73,10578.37,12752.0,-2173.63,-17.05,127520008.99,179886027.58,199389863.97,-21736317.25999999,-52366018.59000002,-19503836.389999986,-17.05,-29.11,-9.78,0,6976.707000000002,6564.318799999999,,
8,399005.SZ,20200430,7087.227,6509.314,7111.853,6476.148,6504.094,583.133,0.0897,71157706412.0,1275200089857.84,635.7049999999999,8.97,127520008.99,12752.0,17988.6,-5236.6,-29.11,179886027.58,199389863.97,105766184.27,-52366018.59000002,-19503836.389999986,93623679.7,-29.11,-9.78,88.52,0,6904.160800000002,6444.248399999999,,
9,399005.SZ,20200331,6504.094,7343.303,7755.466,6222.773,7256.439,-752.345,-0.1037,98313327454.0,1798860275817.23,1532.6930000000002,23.57,179886027.58,17988.6,19938.99,-1950.39,-9.78,199389863.97,105766184.27,102516956.41,-19503836.389999986,93623679.7,3249227.8599999994,-9.78,88.52,3.17,0,6706.010600000003,6303.400199999999,,
