,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,399001.SZ,20201231,14470.683,13650.388,14476.547,13431.554,13670.11,800.573,0.0586,329681336309.0,5908049625935.95,1044.9930000000004,7.22,590804962.59,59080.5,54370.6,4709.9,8.66,543706014.33,351834970.93,494437201.38,47098948.25999999,191871043.40000004,-142602230.45,8.66,54.53,-28.84,2,13608.613800000001,12510.3456,11132.695950000001,
1,399001.SZ,20201130,13670.11,13269.969,14197.846,13258.162,13236.601,433.509,0.0328,305691397207.0,5437060143253.23,939.6839999999993,6.87,543706014.33,54370.6,35183.5,19187.1,54.53,351834970.93,494437201.38,672542762.64,191871043.40000004,-142602230.45,-178105561.26,54.53,-28.84,-26.48,1,13442.0536,12161.3547,10892.888500000003,
2,399001.SZ,20201030,13236.601,13161.355,13820.562,12922.587,12907.448,329.153,0.0255,186299163131.0,3518349709336.79,897.9750000000004,6.78,351834970.93,35183.5,49443.72,-14260.22,-28.84,494437201.38,672542762.64,987866875.1,-142602230.45,-178105561.26,-315324112.46000004,-28.84,-26.48,-31.92,0,13106.5008,11862.5341,10704.726150000002,
3,399001.SZ,20200930,12907.448,13729.387,13944.158,12702.621,13758.227,-850.779,-0.0618,299323351210.0,4944372013836.49,1241.5370000000003,9.62,494437201.38,49443.72,67254.28,-17810.56,-26.48,672542762.64,987866875.1,477471357.78,-178105561.26,-315324112.46000004,510395517.32000005,-26.48,-31.92,106.9,0,12608.3958,11581.9506,10494.492400000003,
4,399001.SZ,20200831,13758.227,13771.744,14012.705,13026.01,13637.882,120.345,0.0088,393224474444.0,6725427626368.88,986.6949999999997,7.17,672542762.64,67254.28,98786.69,-31532.41,-31.92,987866875.1,477471357.78,356486091.27,-315324112.46000004,510395517.32000005,120985266.50999999,-31.92,106.9,33.94,0,12171.261999999999,11249.4213,10223.080750000003,
5,399001.SZ,20200731,13637.882,12024.839,14150.996,11945.892,11992.346,1645.536,0.1372,591236488346.0,9878668750976.01,2205.1039999999994,16.17,987866875.1,98786.69,47747.14,51039.55,106.9,477471357.78,356486091.27,421311130.1,510395517.32000005,120985266.50999999,-64825038.83000004,106.9,33.94,-15.39,2,11412.0774,10837.1315,,
6,399001.SZ,20200630,11992.346,10837.491,12013.601,10837.491,10746.076,1246.27,0.116,318066223252.0,4774713577757.77,1176.1100000000006,9.81,477471357.78,47747.14,35648.61,12098.53,33.94,356486091.27,421311130.1,609476934.51,120985266.50999999,-64825038.83000004,-188165804.40999997,33.94,-15.39,-30.87,1,10880.655800000002,10417.9671,,
7,399001.SZ,20200529,10746.076,10618.165,11096.615,10505.787,10721.779,24.297,0.0023,242249077338.0,3564860912745.82,590.8279999999995,5.5,356486091.27,35648.61,42131.11,-6482.5,-15.39,421311130.1,609476934.51,664280163.77,-64825038.83000004,-188165804.40999997,-54803229.25999999,-15.39,-30.87,-8.25,0,10618.567400000004,10155.3001,,
8,399001.SZ,20200430,10721.779,9967.115,10751.747,9896.646,9962.304,759.475,0.0762,300737392274.0,4213111300958.28,855.1009999999987,7.98,421311130.1,42131.11,60947.69,-18816.58,-30.87,609476934.51,664280163.77,356718032.63,-188165804.40999997,-54803229.25999999,307562131.14,-30.87,-8.25,86.22,0,10555.505400000004,10013.3539,,
9,399001.SZ,20200331,9962.304,11115.459,11739.836,9634.967,10980.774,-1018.47,-0.0928,437368681515.0,6094769345104.17,2104.868999999999,21.13,609476934.51,60947.69,66428.02,-5480.33,-8.25,664280163.77,356718032.63,359291533.22,-54803229.25999999,307562131.14,-2573500.5900000334,-8.25,86.22,-0.72,0,10327.580600000003,9859.007300000001,,
10,399001.SZ,20200228,10980.774,9706.579,11869.406,9578.866,10681.904,298.87,0.028,459695727707.0,6642801637659.06,2290.540000000001,20.86,664280163.77,66428.02,35671.8,30756.22,86.22,356718032.63,359291533.22,274053536.41,307562131.14,-2573500.5900000334,85237996.81,86.22,-0.72,31.1,1,10262.185600000003,9755.0463,,
11,399001.SZ,20200123,10681.904,10509.124,11115.884,10479.773,10430.766,251.138,0.0241,259964332875.0,3567180326252.65,636.1110000000008,5.96,356718032.63,35671.8,35929.15,-257.35,-0.72,359291533.22,274053536.41,232343015.41,-2573500.5900000334,85237996.81,41710521.00000003,-0.72,31.1,17.95,0,9955.278400000003,9624.4223,,
12,399001.SZ,20191231,10430.766,9603.016,10433.293,9531.255,9582.155,848.611,0.0886,286871444179.0,3592915332199.05,902.0380000000005,8.65,359291533.22,35929.15,27405.35,8523.8,31.1,274053536.41,232343015.41,340079206.8,85237996.81,41710521.00000003,-107736191.39000002,31.1,17.95,-31.68,2,9692.032800000003,9546.9182,,
13,399001.SZ,20191129,9582.155,9621.892,10008.514,9490.846,9635.329,-53.174,-0.0055,204054462267.0,2740535364117.24,517.6679999999997,5.4,274053536.41,27405.35,23234.3,4171.05,17.95,232343015.41,340079206.8,291745040.56,41710521.00000003,-107736191.39000002,48334166.24000001,17.95,-31.68,16.57,1,9471.202400000004,9407.0342,,
14,399001.SZ,20191031,9635.329,9474.571,9840.589,9380.568,9446.238,189.091,0.02,176405326268.0,2323430154112.89,460.02100000000064,4.77,232343015.41,23234.3,34007.92,-10773.62,-31.68,340079206.8,291745040.56,259939401.93,-107736191.39000002,48334166.24000001,31805638.629999995,-31.68,16.57,12.24,0,9390.434000000005,9196.7402,,
15,399001.SZ,20190930,9446.238,9393.026,10005.806,9389.48,9365.676,80.562,0.0086,264019107759.0,3400792068011.74,616.3260000000009,6.52,340079206.8,34007.92,29174.5,4833.42,16.57,291745040.56,259939401.93,225494409.05,48334166.24000001,31805638.629999995,34444992.879999995,16.57,12.24,15.28,3,9247.907000000003,,,
16,399001.SZ,20190830,9365.676,9278.832,9517.653,8669.895,9326.614,39.062,0.0042,235851555235.0,2917450405646.49,847.7579999999998,9.05,291745040.56,29174.5,25993.94,3180.56,12.24,259939401.93,225494409.05,263441222.17,31805638.629999995,34444992.879999995,-37946813.119999975,12.24,15.28,-14.4,2,9293.566200000005,,,
17,399001.SZ,20190731,9326.614,9384.788,9560.518,9066.712,9178.313,148.301,0.0162,215359782494.0,2599394019270.54,493.8060000000005,5.29,259939401.93,25993.94,22549.44,3444.5,15.28,225494409.05,263441222.17,458704939.75,34444992.879999995,-37946813.119999975,-195263717.58,15.28,-14.4,-42.57,1,9401.803600000003,,,
18,399001.SZ,20190628,9178.313,8953.369,9274.424,8557.582,8922.694,255.619,0.0286,192929379703.0,2254944090458.88,716.8420000000006,7.81,225494409.05,22549.44,26344.12,-3794.68,-14.4,263441222.17,458704939.75,529543228.81,-37946813.119999975,-195263717.58,-70838289.06,-14.4,-42.57,-13.38,0,9342.866000000004,,,
19,399001.SZ,20190531,8922.694,9289.743,9333.916,8732.984,9674.534,-751.84,-0.0777,231041365762.0,2634412221744.49,600.9319999999989,6.73,263441222.17,26344.12,45870.49,-19526.37,-42.57,458704939.75,529543228.81,270757247.4,-195263717.58,-70838289.06,258785981.41000003,-42.57,-13.38,95.58,0,9003.046400000003,,,
20,399001.SZ,20190430,9674.534,9976.979,10541.185,9573.392,9906.863,-232.329,-0.0235,382701668770.0,4587049397543.15,967.7929999999997,10.0,458704939.75,45870.49,52954.32,-7083.83,-13.38,529543228.81,270757247.4,178825011.55,-70838289.06,258785981.41000003,91932235.84999996,-13.38,95.58,51.41,0,,,,
21,399001.SZ,20190329,9906.863,9111.958,9934.859,9005.486,9031.926,874.937,0.0969,490658979149.0,5295432288124.78,929.3729999999996,9.38,529543228.81,52954.32,27075.72,25878.6,95.58,270757247.4,178825011.55,,258785981.41000003,91932235.84999996,,95.58,51.41,,1,,,,
22,399001.SZ,20190228,9031.926,7524.665,9276.451,7517.834,7479.215,1552.711,0.2076,286516250005.0,2707572473975.87,1758.6169999999993,19.47,270757247.4,27075.72,17882.5,9193.22,51.41,178825011.55,,,91932235.84999996,,,51.41,,,1,,,,
23,399001.SZ,20190131,7479.215,7259.489,7704.846,7011.327,7239.789,239.426,0.0331,189721115700.0,1788250115533.72,693.5189999999993,9.27,178825011.55,17882.5,,,,,,,,,,,,,0,,,,
