,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_w,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,PB,MA5,MA10,MA20,MA30,RSI6,RSI12,RSI24,MTM,CCI,EMA12,EMA26,DIF,DEA,MACD,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER
0,399005.SZ,20210108,10318.9095,10391.5914,10430.358,10213.7095,10328.1111,-9.2016,-0.0891,178820669.0,265210959.8,216.64849999999933,2.1,26521095.98,2652.11,27858148.04,-1337052.06,-4.8,27858148.04,27038448.32,29085807.43,-1337052.0599999987,819699.7199999988,-2047359.1099999994,-4.8,3.03,-7.04,0,5.11,10140.610400000001,9752.00586,9438.890225,9349.869213333332,0.9532198570481334,7.922822303265294,26.544418756025607,-946.914499999999,-67.12024235516358,9673.838991666666,9386.673119230767,287.16587243589856,127.10270455840691,320.1263357549833,7.373826981276994,8.994814979141326,4.131850985548329,10317.366526713216,9438.890225,8560.413923286782
1,399005.SZ,20210107,10328.1111,10144.7876,10328.1111,10108.7866,10138.0007,190.1104,1.8752,195780052.0,278581480.4,219.32450000000063,2.12,27858148.04,2785.81,27038448.32,819699.72,3.03,27038448.32,29085807.43,25682263.87,819699.7199999988,-2047359.1099999994,3403543.5599999987,3.03,-7.04,13.25,1,5.12,9985.8652,9647.60378,9378.645689999998,9303.988359999998,0.8375801122129711,15.880614760684411,25.728120145238687,-1067.1792000000005,-87.06677108321011,9578.495374999999,9342.739299999997,235.75607500000115,95.5788391737921,280.35447165241806,20.39452549716611,12.852197029405476,35.47918243268738,10168.218042836876,9378.645689999998,8589.07333716312
2,399005.SZ,20210106,10138.0007,10186.3115,10228.1156,10024.3813,10135.874,2.1267,0.021,189849151.0,270384483.2,203.73430000000008,2.01,27038448.32,2703.84,29085807.43,-2047359.11,-7.04,29085807.43,25682263.87,20751622.76,-2047359.1099999994,3403543.5599999987,4930641.109999999,-7.04,13.25,23.76,0,5.03,9794.64198,9543.904729999998,9319.144689999997,9258.46768,5.1576793888233405,13.724969164793324,25.375966117965266,-842.3179,-98.75225040123416,9492.209741666666,9299.168899999997,193.0408416666687,68.97592286325137,248.12983760683468,19.659447318477735,15.809266598973613,27.359808757485983,9982.876121798367,9319.144689999997,8655.413258201628
3,399005.SZ,20210105,10135.874,9765.0476,10135.874,9735.2542,9782.1567,353.7173,3.6159,199361620.0,290858074.3,400.6198000000004,3.95,29085807.43,2908.58,25682263.87,3403543.56,13.25,25682263.87,20751622.76,18598526.0,3403543.5599999987,4930641.109999999,2153096.7600000016,13.25,23.76,11.58,3,5.04,9619.228219999999,9447.58327,9276.001359999997,9224.474290000002,11.486796827203674,13.569193262275888,26.048324956631653,-792.6605999999992,-104.96572627402132,9405.399991666665,9257.033096153844,148.36689551282143,48.2943482906022,200.14509444443846,27.806692741685648,22.620221852443166,38.17963452017061,9823.154336092615,9276.001359999997,8728.848383907378
4,399005.SZ,20210104,9782.1567,9589.0737,9798.2199,9559.6963,9545.1835,236.9732,2.4826,185484177.0,256822638.7,238.52360000000044,2.44,25682263.87,2568.23,20751622.76,4930641.11,23.76,20751622.76,18598526.0,18820368.9,4930641.109999999,2153096.7600000016,-221842.8999999985,23.76,11.58,-1.18,2,4.86,9451.18998,9363.26422,9232.650034999995,9191.564210000002,10.301010360988053,13.121505915381922,24.1852901900172,-507.26800000000003,-116.40881331733934,9317.498624999998,9214.43004230769,103.06858269230906,33.32269045584508,139.49178447292798,17.956612006851305,21.80758402233823,10.25466797587746,9612.114228131011,9232.650034999995,8853.185841868979
5,399005.SZ,20201231,9545.1835,9385.5292,9553.1506,9376.3741,9371.995,173.1885,1.8479,159153790.0,207516227.6,176.77649999999994,1.85,20751622.76,2075.16,18598526.0,2153096.76,11.58,18598526.0,18820368.9,19181492.28,2153096.7600000016,-221842.8999999985,-361123.3800000027,11.58,-1.18,-1.88,1,4.74,9363.401319999999,9294.676919999998,9207.226019999996,9169.995030000002,12.86532571595125,15.17066858817418,24.017839718693274,-254.062899999999,-136.9629989331522,9255.577299999999,9182.13493461538,73.44236538461882,24.405103774934105,98.07452321936944,21.990409332719924,22.58457136041896,20.802085277321858,9492.449913218477,9207.226019999996,8922.002126781515
6,399005.SZ,20201230,9371.995,9241.1711,9393.4471,9241.1711,9260.9319,111.0631,1.1993,143319706.0,185985260.0,152.27599999999984,1.62,18598526.0,1859.85,18820368.9,-221842.9,-1.18,18820368.9,19181492.28,17445444.29,-221842.8999999985,-361123.3800000027,1736047.990000002,-1.18,-1.88,9.95,0,4.65,9309.342359999999,9248.264329999998,9190.263279999996,9154.620060000005,10.32638476781975,14.271012463043261,23.01930421715105,-197.20890000000145,-105.55131218513715,9215.750358333333,9159.723673076918,56.02668525641457,18.608671438752328,74.83602763532448,20.8023562754003,20.24979253832384,21.907483749553215,9429.760703827103,9190.263279999996,8950.765856172888
7,399005.SZ,20201229,9260.9319,9312.1201,9332.6791,9205.2886,9295.6828,-34.7509,-0.3738,155597738.0,188203689.0,127.39049999999952,1.38,18820368.9,1882.04,19181492.28,-361123.38,-1.88,19181492.28,17445444.29,18291245.26,-361123.3800000027,1736047.990000002,-845800.9700000025,-1.88,9.95,-4.62,0,4.6,9293.167479999998,9214.974909999999,9180.495039999998,9142.234310000003,27.682488384750926,13.559323891850708,23.791027615162797,31.7515999999996,-24.960519626675474,9184.606541666666,9149.962288461535,34.64425320513146,15.097650498581869,39.093205413099184,20.670215845586686,21.154327151235634,19.701993234288793,9405.01504029407,9180.495039999998,8955.975039705925
8,399005.SZ,20201228,9295.6828,9317.3567,9346.9371,9263.0021,9343.2134,-47.5306,-0.5087,158750887.0,191814922.8,83.93499999999949,0.9,19181492.28,1918.15,17445444.29,1736047.99,9.95,17445444.29,18291245.26,20881830.47,1736047.990000002,-845800.9700000025,-2590585.209999997,9.95,-4.62,-12.41,1,4.64,9275.938319999997,9195.60774,9177.212479999998,9135.81205666667,19.95988604345341,25.92311572674068,29.528381274243287,-199.39910000000054,30.638676000184333,9158.053508333333,9145.640738461534,12.412769871798446,14.723865099722186,-4.6221904558474805,29.97839456058469,23.816988893857225,42.30120589403962,9398.833406787962,9177.212479999998,8955.591553212034
9,399005.SZ,20201225,9343.2134,9260.2168,9355.8632,9241.4117,9274.8887,68.3247,0.7367,142486660.0,174454442.9,114.45149999999921,1.22,17445444.29,1744.54,18291245.26,-845800.97,-4.62,18291245.26,20881830.47,21395942.84,-845800.9700000025,-2590585.209999997,-514112.37000000104,-4.62,-12.41,-2.4,0,4.65,9275.338459999997,9165.86638,9164.551829999997,9130.961026666668,19.454971333025696,27.50872504587972,30.59195823370843,-262.15580000000045,85.33526236825696,9142.914841666667,9139.463757692301,3.451083974365247,15.418948789181336,-23.935729629632178,42.01207936484814,30.88689659033984,64.26244491386473,9386.585029263892,9164.551829999997,8942.518630736102
