,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_w,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,PB,MA5,MA10,MA20,MA30,RSI6,RSI12,RSI24,MTM,CCI,EMA12,EMA26,DIF,DEA,MACD,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER
0,000001.SH,20210108,3570.1082,3577.6923,3588.0625,3544.8912,3576.2046,-6.0964,-0.1705,345557896.0,502170815.6,43.171299999999974,1.21,50217081.56,5021.71,54570962.81,-4353881.25,-7.98,54570962.81,52179952.98,56801946.22,-4353881.25,2391009.8300000057,-4621993.240000002,-7.98,4.58,-8.14,0,1.58,3545.76492,3478.9230799999996,3428.1155600000006,3424.081006666667,3.632089213891293,14.496507667686581,38.828899190014475,-155.6555000000003,-37.06931276159466,3461.221966666666,3423.886503846154,37.33546282051202,6.080302350426741,62.51032094017056,10.363497061298796,13.01396841681048,5.06255435027543,3576.4555825193893,3428.1155600000006,3279.775537480612
1,000001.SH,20210107,3576.2046,3552.9087,3576.2046,3526.6174,3550.8767,25.3279,0.7133,405348226.0,545709628.1,49.58719999999994,1.39,54570962.81,5457.1,52179952.98,2391009.83,4.58,52179952.98,56801946.22,52336770.08,2391009.8300000057,-4621993.240000002,4465176.140000001,4.58,-8.14,8.53,1,1.58,3526.35714,3458.223589999999,3418.2739400000005,3417.4018466666666,2.8982434355242126,30.576480967334362,38.65333837415692,-197.16840000000002,-41.78792908751745,3443.4447999999993,3419.243130769231,24.201669230768402,0.16323739316178237,48.07686367521324,27.02241358973443,17.693670717035832,45.67989933513163,3553.131013365461,3418.2739400000005,3283.41686663454
2,000001.SH,20210106,3550.8767,3530.9072,3556.8022,3513.1262,3528.6767,22.2,0.6291,370230926.0,521799529.8,43.67599999999993,1.23,52179952.98,5218.0,56801946.22,-4621993.24,-8.14,56801946.22,52336770.08,45048231.89,-4621993.240000002,4465176.140000001,7288538.189999998,-8.14,8.53,16.18,0,1.57,3494.00676,3438.8350799999994,3408.0619100000013,3410.2726066666664,13.68197843636988,28.24426310729904,39.49893968607981,-153.5912999999996,-46.99068168815415,3430.4751916666664,3414.4636615384616,16.011530128204868,-4.37922642450197,40.78151310541367,41.35922359604541,26.24837808235954,71.58091462341716,3522.995766825313,3408.0619100000013,3293.1280531746897
3,000001.SH,20210105,3528.6767,3492.1912,3528.6767,3484.7151,3502.9584,25.7183,0.7342,407995934.0,568019462.2,43.96160000000009,1.25,56801946.22,5680.19,52336770.08,4465176.14,8.53,52336770.08,45048231.89,37754235.09,4465176.140000001,7288538.189999998,7293996.799999997,8.53,16.18,19.32,3,1.56,3459.6386599999996,3419.4256299999993,3401.0269300000014,3405.3374666666664,13.610139440311297,30.491932206130066,39.804636079072935,-132.11409999999978,-78.82352822613235,3417.4768,3408.3436,9.13319999999976,-7.508335185185741,33.28307037037101,64.67271518378267,44.35145078985416,105.3152439716397,3495.544175133063,3401.026930000001,3306.5096848669386
4,000001.SH,20210104,3502.9584,3474.6793,3511.6554,3457.2061,3473.0693,29.8891,0.8606,380790800.0,523367700.8,54.44930000000022,1.55,52336770.08,5233.68,45048231.89,7288538.19,16.18,45048231.89,37754235.09,38210256.38,7288538.189999998,7293996.799999997,-456021.2899999991,16.18,19.32,-1.19,2,1.55,3433.3604,3408.61489,3395.423280000002,3401.53124,10.537568605806445,26.989461913184925,35.41174443532444,-139.8451,-95.97963460646169,3407.159841666666,3403.7140000000004,3.4458416666657286,-9.37443746438804,25.640558262107536,53.906829561031316,53.31292278028646,55.09464312252102,3470.239992376042,3395.4232800000013,3320.6065676239605
5,000001.SH,20201231,3473.0693,3419.7267,3474.9182,3419.7267,3414.4527,58.6166,1.7167,335673926.0,450482318.9,55.191499999999905,1.59,45048231.89,4504.82,37754235.09,7293996.8,19.32,37754235.09,38210256.38,39815996.88,7293996.799999997,-456021.2899999991,-1605740.5,19.32,-1.19,-4.03,1,1.54,3412.0812400000004,3397.80865,3392.504430000002,3397.3568499999997,22.58033534307597,27.049631552667925,37.39457979055266,-90.74980000000005,-110.01621634805328,3395.8285749999995,3398.589961538462,-2.761386538462375,-9.753719586895082,13.984666096865414,41.65502977317471,53.41152483932956,18.142039640865022,3453.6109391065474,3392.504430000001,3331.3979208934543
6,000001.SH,20201230,3414.4527,3375.0086,3414.4539,3374.4156,3379.0362,35.4165,1.0481,291023543.0,377542350.9,40.03830000000016,1.17,37754235.09,3775.42,38210256.38,-456021.29,-1.19,38210256.38,39815996.88,35909444.47,-456021.2899999991,-1605740.5,3906552.410000004,-1.19,-4.03,10.88,0,1.51,3390.0900400000005,3390.9890399999995,3390.957760000001,3393.690793333333,18.587954557894644,27.54263896033118,34.796831733832164,-57.67049999999972,-138.85713569692805,3387.0088499999997,3394.330657692308,-7.321807692308084,-8.771547578348065,2.8994797720799603,28.580292366482567,41.380717233562855,2.979442632321991,3444.985101319858,3390.9577600000002,3336.9304186801423
7,000001.SH,20201229,3379.0362,3399.2939,3407.0884,3376.0876,3397.2854,-18.2492,-0.5372,311769185.0,382102563.8,31.000800000000254,0.92,38210256.38,3821.03,39815996.88,-1605740.5,-4.03,39815996.88,35909444.47,36332114.43,-1605740.5,3906552.410000004,-422669.9600000009,-4.03,10.88,-1.16,0,1.5,3383.6634000000004,3386.2420899999997,3392.7041500000014,3391.4524833333335,46.78801991263119,25.36962548374151,34.31919113991364,41.533100000000104,-34.35289189863468,3383.2311333333328,3393.883342307692,-10.652208974359382,-6.537931552707101,-8.228554843304563,27.78200443563064,32.672442191762634,18.00112892336665,3451.6871557445656,3392.7041500000005,3333.7211442554353
8,000001.SH,20201228,3397.2854,3396.359,3412.5193,3383.654,3396.5626,0.7228,0.0213,316181542.0,398159968.8,28.865299999999934,0.85,39815996.88,3981.6,35909444.47,3906552.41,10.88,35909444.47,36332114.43,41325477.91,3906552.410000004,-422669.9600000009,-4993363.479999997,10.88,-1.16,-12.08,1,1.51,3379.212600000001,3385.06173,3396.3492600000013,3390.1477766666667,40.08231644410321,32.30063839620283,39.08959540552955,-2.3894000000000233,52.94495126091698,3380.577366666666,3395.2469461538462,-14.669579487180272,-3.2306585470091704,-22.877841880342203,35.706271091066974,30.689522631060054,45.739768011080805,3460.3041219120323,3396.3492600000004,3332.3943980879685
9,000001.SH,20201225,3396.5626,3351.7901,3397.0066,3348.3453,3363.1133,33.4493,0.9946,294546895.0,359094444.7,48.66130000000021,1.43,35909444.47,3590.94,36332114.43,-422669.96,-1.16,36332114.43,41325477.91,43219955.65,-422669.9600000009,-4993363.479999997,-1894477.740000002,-1.16,-12.08,-4.38,0,1.51,3383.869380000001,3382.2452,3396.0727450000013,3388.4705700000004,43.836148100806724,32.13689879501742,40.391208844521564,8.310599999999795,161.65742141780345,3378.576566666666,3394.4946884615388,-15.918121794872604,0.7815665242158806,-33.39937663817697,39.59047835768724,34.35958462812828,50.05226581680516,3460.0568407552255,3396.0727450000004,3332.0886492447753
