,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_w,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,PB,MA5,MA10,MA20,MA30,RSI6,RSI12,RSI24,MTM,CCI,EMA12,EMA26,DIF,DEA,MACD,K,D,J,BOLL_UPPER,BOLL_MIDDLE,BOLL_LOWER
0,399006.SZ,20210108,3150.7797,3179.3651,3194.3658,3115.9922,3162.398,-11.6183,-0.3674,111271745.0,215418741.2,78.3735999999999,2.49,21541874.12,2154.19,23352125.59,-1810251.47,-7.75,23352125.59,22508367.53,24128911.37,-1810251.4699999988,843758.0599999987,-1620543.8399999999,-7.75,3.75,-6.72,0,9.04,3120.87146,2996.7759199999996,2891.294825,2826.3560566666665,4.24833661695169,13.648840255374568,25.74116851640594,-250.24220000000014,-52.6847416562874,2969.290233333333,2852.2456423076924,117.04459102564078,86.32577649572653,61.43762905982851,9.983497110223455,11.01977888592563,7.9109335588191065,3183.0244057279506,2891.294825,2599.5652442720493
1,399006.SZ,20210107,3162.398,3106.3391,3162.398,3086.0639,3115.0913,47.3067,1.5186,126540769.0,233521255.9,76.33410000000003,2.41,23352125.59,2335.21,22508367.53,843758.06,3.75,22508367.53,24128911.37,22957530.73,843758.0599999987,-1620543.8399999999,1171380.6400000006,3.75,-6.72,5.1,1,9.04,3083.96678,2963.77327,2869.6831,2808.3096066666667,3.0693457680632314,25.902843306019896,25.184943495902356,-349.40059999999994,-83.20335162475772,2941.0377000000003,2834.253030769231,106.7846692307694,79.67833397435905,54.212670512820694,25.063618688879714,15.763639551435212,43.66357696376872,3144.8919082866873,2869.6831,2594.474291713313
2,399006.SZ,20210106,3115.0913,3113.8472,3134.7631,3057.5636,3097.977,17.1143,0.5524,111972348.0,225083675.3,77.19950000000017,2.48,22508367.53,2250.84,24128911.37,-1620543.84,-6.72,24128911.37,22957530.73,17929360.13,-1620543.8399999999,1171380.6400000006,5028170.6000000015,-6.72,5.1,28.04,0,8.86,3031.5946799999997,2931.83051,2846.4544800000003,2790.08071,12.942853263527535,21.18429831364359,24.301222786786127,-272.2811999999999,-88.96339762623899,2917.7080833333334,2816.4086115384616,101.2994717948718,73.68310683760689,55.23272991452984,22.613458970711974,19.22019158993838,29.399993732259162,3096.1587261293057,2846.4544800000003,2596.750233870695
3,399006.SZ,20210105,3097.977,3050.1825,3100.0015,3027.7559,3078.1113,19.8657,0.6454,109187298.0,241289113.7,72.24559999999974,2.33,24128911.37,2412.89,22957530.73,1171380.64,5.1,22957530.73,17929360.13,16536000.11,1171380.6400000006,5028170.6000000015,1393360.0199999996,5.1,28.04,8.43,3,8.77,2971.1758999999997,2901.4963099999995,2828.0139950000003,2775.4042766666666,12.837087583237079,21.929435264362372,25.725282015560147,-257.17639999999983,-103.44040067712416,2889.8446583333334,2797.823919230769,92.02073910256422,68.46284123931633,47.115795726495776,31.001806203826003,26.226294621139232,40.55282936919954,3048.3904400943566,2828.0139950000003,2607.637549905644
4,399006.SZ,20210104,3078.1113,2977.3205,3094.5284,2963.4138,2966.2563,111.855,3.7709,104349613.0,229575307.3,131.11460000000034,4.26,22957530.73,2295.75,17929360.13,5028170.6,28.04,17929360.13,16536000.11,17359815.74,5028170.6000000015,1393360.0199999996,-823815.629999999,28.04,8.43,-4.75,2,8.72,2920.14252,2879.94287,2809.4392850000004,2761.683633333333,11.693161460910154,20.831032288124398,23.72209419966716,-257.3580999999999,-120.94602913076992,2863.814516666667,2779.401373076923,84.41314358974387,63.985035256410406,40.856216666666924,19.289579423301173,24.301614865946387,9.265508538010742,2995.6418898259726,2809.4392850000004,2623.236680174028
5,399006.SZ,20201231,2966.2563,2911.3902,2969.7527,2909.666,2900.5375,65.7188,2.2657,87399891.0,179293601.3,60.08669999999984,2.03,17929360.13,1792.94,16536000.11,1393360.02,8.43,16536000.11,17359815.74,17477190.36,1393360.0199999996,-823815.629999999,-117374.62000000104,8.43,-4.75,-0.67,1,8.34,2872.6803799999993,2850.2047599999996,2792.0755850000005,2747.9830066666664,21.049364121202053,20.74998483901532,23.354322293090146,-123.28589999999986,-157.45032387630815,2837.3585666666663,2761.3734846153843,75.985082051282,60.02786495726519,31.91443418803364,24.056616903820142,24.782667510315775,22.604515690828876,2934.427760303282,2792.0755850000005,2649.723409696719
6,399006.SZ,20201230,2900.5375,2828.0141,2909.1884,2827.0667,2812.9974,87.5401,3.112,84564375.0,165360001.1,82.12170000000015,2.83,16536000.11,1653.6,17359815.74,-823815.63,-4.75,17359815.74,17477190.36,15995608.27,-823815.629999999,-117374.62000000104,1481582.0899999999,-4.75,-0.67,9.26,0,8.16,2843.579759999999,2832.1406599999996,2779.388655,2737.27983,17.858611748714907,19.27218673536123,23.07634075808124,-88.78819999999996,-146.27906014711485,2820.075091666666,2747.884053846154,72.19103782051207,56.18431937321975,32.01343689458463,21.79668610684368,21.714294144655,21.96147003122104,2901.1195720253586,2779.388655,2657.657737974642
7,399006.SZ,20201229,2812.9974,2838.7076,2843.7151,2795.6461,2842.8101,-29.8127,-1.0487,97368670.0,173598157.4,48.06899999999996,1.71,17359815.74,1735.98,17477190.36,-117374.62,-0.67,17477190.36,15995608.27,17434270.41,-117374.62000000104,1481582.0899999999,-1438662.1400000006,-0.67,9.26,-8.25,0,7.88,2832.0663399999985,2818.1508999999996,2768.5103700000004,2727.9509866666663,41.82106145717271,17.62412658486852,23.682783973382822,69.44519999999966,-107.86100446408454,2805.5803833333334,2739.2017769230765,66.37860641025691,52.199986111111684,28.357240598290446,19.178202327403575,21.677168446022467,14.180270090165791,2883.7010869797855,2768.5103700000004,2653.3196530202154
8,399006.SZ,20201228,2842.8101,2847.1203,2860.9954,2823.0034,2840.8006,2.0095,0.0707,97762012.0,174771903.6,37.991999999999734,1.34,17477190.36,1747.72,15995608.27,1481582.09,9.26,15995608.27,17434270.41,18770660.57,1481582.0899999999,-1438662.1400000006,-1336390.1600000001,9.26,-8.25,-7.12,1,7.97,2831.816719999999,2812.7366199999997,2762.782655,2722.7874766666664,27.812659654778095,23.294939526770104,29.2929524734463,-62.07990000000018,-81.83801674619515,2795.145666666667,2734.331019230769,60.81464743589777,48.49916146723717,24.630971937321192,19.486416756053885,20.15376839676705,18.151713474627556,2879.9310211825655,2762.782655,2645.6342888174345
9,399006.SZ,20201225,2840.8006,2811.5466,2841.5675,2793.7782,2820.7532,20.0474,0.7107,87907670.0,159956082.7,47.78929999999991,1.68,15995608.27,1599.56,17434270.41,-1438662.14,-8.25,17434270.41,18770660.57,19134734.14,-1438662.1400000006,-1336390.1600000001,-364073.5700000003,-8.25,-7.12,-1.9,0,7.9,2839.7432199999985,2801.1157099999996,2752.2366150000003,2718.440763333333,29.179856796103394,22.173438160851216,30.335200462044494,-55.1853000000001,-37.108042394975826,2784.790258333333,2727.5726499999996,57.217608333333374,44.1706684472942,26.093879772078353,16.38516391510217,18.349927666186545,12.455636412933416,2876.4324263082053,2752.2366150000003,2628.040803691795
