,ts_code,trade_date,close,open,high,low,pre_close,change,pct_chg,vol,amount,high_low,pct_high_low,amount_w,amount_y,pre_amount_y,amount_change,pct_amount_change,amount_w_1,amount_w_2,amount_w_3,amount_change_1,amount_change_2,amount_change_3,pct_amount_change_1,pct_amount_change_2,pct_amount_change_3,amount_up,MA5,MA10,MA20,MA30
0,399001.SZ,20210108,15319.291,14516.121,15453.178,14486.251,14470.683,848.608,0.0586,101566790724.0,2092547765543.21,966.9269999999997,6.31,209254776.55,20925.48,11402.12,9523.36,83.52,114021236.37,136933846.23,114091403.83,95233540.18,-22912609.859999985,22842442.39999999,83.52,-16.73,20.02,1,14243.2588,14037.9225,13649.195549999999,13429.136766666667
1,399001.SZ,20201231,14470.683,14020.952,14476.547,13915.885,14017.057,453.626,0.0324,62317092947.0,1140212363676.61,560.6620000000003,3.87,114021236.37,11402.12,13693.38,-2291.26,-16.73,136933846.23,114091403.83,118927464.38,-22912609.859999985,22842442.39999999,-4836060.549999997,-16.73,20.02,-4.07,0,13984.7318,13829.6535,13557.130949999997,13293.550633333332
2,399001.SZ,20201225,14017.057,13858.658,14172.767,13819.703,13854.119,162.938,0.0118,73118810762.0,1369338462274.52,353.0640000000003,2.52,136933846.23,13693.38,11409.14,2284.24,20.02,114091403.83,118927464.38,137022204.03,22842442.39999999,-4836060.549999997,-18094739.650000006,20.02,-4.07,-13.21,1,13828.771799999999,13695.4307,13508.047249999998,13183.881099999999
3,399001.SZ,20201218,13854.119,13583.194,13939.929,13511.779,13555.144,298.975,0.0221,58382963203.0,1140914038312.17,428.14999999999964,3.09,114091403.83,11409.14,11892.75,-483.61,-4.07,118927464.38,137022204.03,121954220.83,-4836060.549999997,-18094739.650000006,15067983.200000003,-4.07,-13.21,12.36,0,13795.844000000001,13646.997899999998,13489.619349999999,13074.848399999997
4,399001.SZ,20201211,13555.144,14021.161,14054.875,13431.554,14026.656,-471.512,-0.0336,67417764339.0,1189274643842.78,623.3209999999999,4.6,118927464.38,11892.75,13702.22,-1809.47,-13.21,137022204.03,121954220.83,122779528.64,-18094739.650000006,15067983.200000003,-825307.8100000024,-13.21,12.36,-0.67,0,13775.930799999998,13590.512199999997,13478.807499999999,12966.543266666666
5,399001.SZ,20201204,14026.656,13720.68,14049.212,13634.156,13690.883,335.773,0.0245,87125557031.0,1370222040322.23,415.0559999999987,2.96,137022204.03,13702.22,12195.42,1506.8,12.36,121954220.83,122779528.64,141155616.43,15067983.200000003,-825307.8100000024,-18376087.790000007,12.36,-0.67,-13.02,1,13832.5862,13525.742599999998,13447.835099999997,12880.201533333333
6,399001.SZ,20201127,13690.883,13871.711,14021.504,13452.676,13852.418,-161.535,-0.0117,75006623996.0,1219542208276.88,568.8280000000013,4.15,121954220.83,12195.42,12277.95,-82.53,-0.67,122779528.64,141155616.43,127625456.18,-825307.8100000024,-18376087.790000007,13530160.25,-0.67,-13.02,10.6,0,13674.575199999997,13404.4943,13402.249199999997,12779.365633333333
7,399001.SZ,20201120,13852.418,13811.849,13865.719,13578.325,13754.553,97.865,0.0071,70580666846.0,1227795286448.52,287.3939999999984,2.07,122779528.64,12277.95,14115.56,-1837.61,-13.02,141155616.43,127625456.18,108430677.12,-18376087.790000007,13530160.25,19194779.060000002,-13.02,10.6,17.7,0,13562.089599999998,13359.914999999999,13401.267249999999,12680.3955
8,399001.SZ,20201113,13754.553,13934.37,14197.846,13620.889,13838.421,-83.868,-0.0061,75047528646.0,1411556164258.54,576.9570000000003,4.19,141155616.43,14115.56,12762.55,1353.01,10.6,127625456.18,108430677.12,94903801.47,13530160.25,19194779.060000002,13526875.650000006,10.6,17.7,14.25,3,13498.151799999998,13268.967999999999,13330.30955,12566.096966666666
9,399001.SZ,20201106,13838.421,13269.969,13932.413,13258.162,13236.601,601.82,0.0455,66375725746.0,1276254561776.93,674.2510000000002,4.87,127625456.18,12762.55,10843.07,1919.48,17.7,108430677.12,94903801.47,124893405.19,19194779.060000002,13526875.650000006,-29989603.72,17.7,14.25,-24.01,2,13405.093599999998,13259.178399999999,13233.258299999998,12458.544866666665
10,399001.SZ,20201030,13236.601,13056.301,13582.307,12922.587,13128.455,108.146,0.0082,54155285359.0,1084306771224.98,659.7200000000012,4.98,108430677.12,10843.07,9490.38,1352.69,14.25,94903801.47,124893405.19,23607087.15,13526875.650000006,-29989603.72,101286318.03999999,14.25,-24.01,429.05,1,13218.899,13260.468599999998,13124.743899999998,12340.544566666667
11,399001.SZ,20201023,13128.455,13638.78,13660.538,13110.017,13532.729,-404.274,-0.0299,51732139459.0,949038014686.18,550.5210000000006,4.19,94903801.47,9490.38,12489.34,-2998.96,-24.01,124893405.19,23607087.15,49787228.42,-29989603.72,101286318.03999999,-26180141.270000003,-24.01,429.05,-52.58,0,13134.4134,13284.608400000001,13025.499199999998,12236.328266666667
12,399001.SZ,20201016,13532.729,13386.344,13820.562,13382.698,13289.262,243.467,0.0183,67958534665.0,1248934051909.21,437.8639999999996,3.24,124893405.19,12489.34,2360.71,10128.63,429.05,23607087.15,49787228.42,98677508.67,101286318.03999999,-26180141.270000003,-48890280.25,429.05,-52.58,-49.55,1,13157.740399999999,13320.6638,12928.106299999998,12135.709966666667
13,399001.SZ,20201009,13289.262,13161.355,13323.809,13145.754,12907.448,381.814,0.0296,12453203648.0,236070871516.42,178.05499999999847,1.34,23607087.15,2360.71,4978.72,-2618.01,-52.58,49787228.42,98677508.67,109771177.26,-26180141.270000003,-48890280.25,-11093668.590000004,-52.58,-49.55,-10.11,0,13039.784199999998,13332.240800000003,12788.773649999997,12022.9565
